transaction_id,product_id,variant_id,quantity,price,shipment_id,status,promo_name,discount,total_paid
8f7a1c11-7b30-4aab-a001-001100550001,5a6d7a01-1111-4d57-92dc-001100220001,6b7d7a01-1111-4d57-92dc-001100770001,1,250000,1a2b7a01-1111-4d57-92dc-001100880001,Pending,Weekend Saver,10,225000
8f7a1c11-7b30-4aab-a001-001100550002,5a6d7a01-1111-4d57-92dc-001100220002,6b7d7a01-1111-4d57-92dc-001100770002,2,450000,1a2b7a01-1111-4d57-92dc-001100880002,Shipping,,0,900000
8f7a1c11-7b30-4aab-a001-001100550003,5a6d7a01-1111-4d57-92dc-001100220003,6b7d7a01-1111-4d57-92dc-001100770003,1,600000,1a2b7a01-1111-4d57-92dc-001100880003,Completed,Holiday Special,15,510000
8f7a1c11-7b30-4aab-a001-001100550004,5a6d7a01-1111-4d57-92dc-001100220004,6b7d7a01-1111-4d57-92dc-001100770004,3,150000,1a2b7a01-1111-4d57-92dc-001100880004,Cancelled,,0,450000
8f7a1c11-7b30-4aab-a001-001100550005,5a6d7a01-1111-4d57-92dc-001100220005,6b7d7a01-1111-4d57-92dc-001100770005,2,300000,1a2b7a01-1111-4d57-92dc-001100880005,Pending,Flash Sale,20,240000
8f7a1c11-7b30-4aab-a001-001100550006,5a6d7a01-1111-4d57-92dc-001100220006,6b7d7a01-1111-4d57-92dc-001100770006,1,800000,1a2b7a01-1111-4d57-92dc-001100880006,Shipping,,0,800000
8f7a1c11-7b30-4aab-a001-001100550007,5a6d7a01-1111-4d57-92dc-001100220007,6b7d7a01-1111-4d57-92dc-001100770007,1,1200000,1a2b7a01-1111-4d57-92dc-001100880007,Completed,New Year Deal,25,900000
8f7a1c11-7b30-4aab-a001-001100550008,5a6d7a01-1111-4d57-92dc-001100220008,6b7d7a01-1111-4d57-92dc-001100770008,2,700000,1a2b7a01-1111-4d57-92dc-001100880008,Cancelled,,0,1400000
8f7a1c11-7b30-4aab-a001-001100550009,5a6d7a01-1111-4d57-92dc-001100220009,6b7d7a01-1111-4d57-92dc-001100770009,1,500000,1a2b7a01-1111-4d57-92dc-001100880009,Pending,Weekend Saver,10,450000
8f7a1c11-7b30-4aab-a001-0011005500010,5a6d7a01-1111-4d57-92dc-001100220010,6b7d7a01-1111-4d57-92dc-001100770010,1,2000000,1a2b7a01-1111-4d57-92dc-001100880010,Shipping,,0,2000000
8f7a1c11-7b30-4aab-a001-0011005500011,5a6d7a01-1111-4d57-92dc-001100220011,6b7d7a01-1111-4d57-92dc-001100770011,1,400000,1a2b7a01-1111-4d57-92dc-001100880011,Completed,Holiday Special,15,340000
8f7a1c11-7b30-4aab-a001-0011005500012,5a6d7a01-1111-4d57-92dc-001100220012,6b7d7a01-1111-4d57-92dc-001100770012,1,900000,1a2b7a01-1111-4d57-92dc-001100880012,Cancelled,,0,900000
8f7a1c11-7b30-4aab-a001-0011005500013,5a6d7a01-1111-4d57-92dc-001100220013,6b7d7a01-1111-4d57-92dc-001100770013,1,1100000,1a2b7a01-1111-4d57-92dc-001100880013,Pending,Flash Sale,20,880000
8f7a1c11-7b30-4aab-a001-0011005500014,5a6d7a01-1111-4d57-92dc-001100220014,6b7d7a01-1111-4d57-92dc-001100770014,2,350000,1a2b7a01-1111-4d57-92dc-001100880014,Shipping,,0,700000
8f7a1c11-7b30-4aab-a001-0011005500015,5a6d7a01-1111-4d57-92dc-001100220015,6b7d7a01-1111-4d57-92dc-001100770015,1,450000,1a2b7a01-1111-4d57-92dc-001100880015,Completed,New Year Deal,25,337500
8f7a1c11-7b30-4aab-a001-0011005500016 ,5a6d7a01-1111-4d57-92dc-001100220016,6b7d7a01-1111-4d57-92dc-001100770016,3,250000,1a2b7a01-1111-4d57-92dc-001100880016,Cancelled,,0,750000
8f7a1c11-7b30-4aab-a001-0011005500017,5a6d7a01-1111-4d57-92dc-001100220017,6b7d7a01-1111-4d57-92dc-001100770017,1,600000,1a2b7a01-1111-4d57-92dc-001100880017,Pending,Weekend Saver,10,540000
8f7a1c11-7b30-4aab-a001-0011005500018,5a6d7a01-1111-4d57-92dc-001100220018,6b7d7a01-1111-4d57-92dc-001100770018,2,800000,1a2b7a01-1111-4d57-92dc-001100880018,Shipping,,0,1600000
8f7a1c11-7b30-4aab-a001-0011005500019,5a6d7a01-1111-4d57-92dc-001100220019,6b7d7a01-1111-4d57-92dc-001100770019,1,1200000,1a2b7a01-1111-4d57-92dc-001100880019,Completed,Holiday Special,15,1020000
8f7a1c11-7b30-4aab-a001-0011005500020,5a6d7a01-1111-4d57-92dc-001100220020,6b7d7a01-1111-4d57-92dc-001100770020,1,300000,1a2b7a01-1111-4d57-92dc-001100880020,Cancelled,,0,300000
8f7a1c11-7b30-4aab-a001-0011005500021,5a6d7a01-1111-4d57-92dc-001100220021,6b7d7a01-1111-4d57-92dc-001100770021,2,400000,1a2b7a01-1111-4d57-92dc-001100880021,Pending,Flash Sale,20,640000
8f7a1c11-7b30-4aab-a001-0011005500022,5a6d7a01-1111-4d57-92dc-001100220022,6b7d7a01-1111-4d57-92dc-001100770022,1,750000,1a2b7a01-1111-4d57-92dc-001100880022,Shipping,,0,750000
8f7a1c11-7b30-4aab-a001-0011005500023,5a6d7a01-1111-4d57-92dc-001100220023,6b7d7a01-1111-4d57-92dc-001100770023,1,950000,1a2b7a01-1111-4d57-92dc-001100880023,Completed,New Year Deal,25,712500
8f7a1c11-7b30-4aab-a001-0011005500024,5a6d7a01-1111-4d57-92dc-001100220024,6b7d7a01-1111-4d57-92dc-001100770024,3,200000,1a2b7a01-1111-4d57-92dc-001100880024,Cancelled,,0,600000
8f7a1c11-7b30-4aab-a001-0011005500025,5a6d7a01-1111-4d57-92dc-001100220025,6b7d7a01-1111-4d57-92dc-001100770025,1,850000,1a2b7a01-1111-4d57-92dc-001100880025,Pending,Weekend Saver,10,765000
8f7a1c11-7b30-4aab-a001-0011005500026,5a6d7a01-1111-4d57-92dc-001100220026,6b7d7a01-1111-4d57-92dc-001100770026,2,650000,1a2b7a01-1111-4d57-92dc-001100880026,Shipping,,0,1300000
8f7a1c11-7b30-4aab-a001-0011005500027,5a6d7a01-1111-4d57-92dc-001100220027,6b7d7a01-1111-4d57-92dc-001100770027,1,500000,1a2b7a01-1111-4d57-92dc-001100880027,Completed,Holiday Special,15,425000
8f7a1c11-7b30-4aab-a001-0011005500028,5a6d7a01-1111-4d57-92dc-001100220028,6b7d7a01-1111-4d57-92dc-001100770028,2,300000,1a2b7a01-1111-4d57-92dc-001100880028,Cancelled,,0,600000
8f7a1c11-7b30-4aab-a001-0011005500029,5a6d7a01-1111-4d57-92dc-001100220029,6b7d7a01-1111-4d57-92dc-001100770029,1,400000,1a2b7a01-1111-4d57-92dc-001100880029,Pending,Flash Sale,20,320000
8f7a1c11-7b30-4aab-a001-0011005500030,5a6d7a01-1111-4d57-92dc-001100220030,6b7d7a01-1111-4d57-92dc-001100770030,1,550000,1a2b7a01-1111-4d57-92dc-001100880030,Shipping,,0,550000
